#TYPE Deserialized.System.Management.Automation.PSCustomObject
"LastAccessTimeUtc","CreationTime","LastAccessTime","ComputerName","LastWriteTimeUtc","LogName","CreationTimeUTC","RetentionPeriodinDays","LastWriteTime","LogFullName","SizeinMb","PSComputerName","RunspaceId","PSShowComputerName"
"15/06/2019 4:19:19 AM","15/06/2019 4:19:19 PM","15/06/2019 4:19:19 PM","NEWYORK","7/04/2021 8:01:57 AM","Application.evtx","15/06/2019 4:19:19 AM","10","7/04/2021 8:01:57 PM","C:\Windows\System32\Winevt\Logs\Application.evtx","  20.00","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"15/06/2019 4:19:19 AM","15/06/2019 4:19:19 PM","15/06/2019 4:19:19 PM","NEWYORK","15/06/2019 4:19:50 AM","HardwareEvents.evtx","15/06/2019 4:19:19 AM","1","15/06/2019 4:19:50 PM","C:\Windows\System32\Winevt\Logs\HardwareEvents.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"15/06/2019 4:19:19 AM","15/06/2019 4:19:19 PM","15/06/2019 4:19:19 PM","NEWYORK","15/06/2019 4:19:50 AM","Internet Explorer.evtx","15/06/2019 4:19:19 AM","1","15/06/2019 4:19:50 PM","C:\Windows\System32\Winevt\Logs\Internet Explorer.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"15/06/2019 4:19:19 AM","15/06/2019 4:19:19 PM","15/06/2019 4:19:19 PM","NEWYORK","15/06/2019 4:19:50 AM","Key Management Service.evtx","15/06/2019 4:19:19 AM","1","15/06/2019 4:19:50 PM","C:\Windows\System32\Winevt\Logs\Key Management Service.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-AppV-Client%4Admin.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-AppV-Client%4Admin.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-AppV-Client%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-AppV-Client%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-AppV-Client%4Virtual Applications.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-AppV-Client%4Virtual Applications.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"14/06/2019 9:20:38 AM","14/06/2019 9:20:38 PM","14/06/2019 9:20:38 PM","NEWYORK","7/04/2021 8:02:57 AM","Microsoft-Client-Licensing-Platform%4Admin.evtx","14/06/2019 9:20:38 AM","10","7/04/2021 8:02:57 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx","   1.00","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Rdms-UI%4Admin.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Rdms-UI%4Admin.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Rdms-UI%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Rdms-UI%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-User Experience Virtualization-Agent Driver%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-User Experience Virtualization-Agent Driver%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-User Experience Virtualization-App Agent%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-User Experience Virtualization-App Agent%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-User Experience Virtualization-IPC%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-User Experience Virtualization-IPC%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-User Experience Virtualization-SQM Uploader%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-User Experience Virtualization-SQM Uploader%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"14/06/2019 10:05:57 PM","15/06/2019 10:05:57 AM","15/06/2019 10:05:57 AM","NEWYORK","7/04/2021 8:02:52 AM","Microsoft-Windows-AAD%4Operational.evtx","14/06/2019 10:05:57 PM","11","7/04/2021 8:02:52 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-AAD%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"14/06/2019 12:53:54 PM","15/06/2019 12:53:54 AM","15/06/2019 12:53:54 AM","NEWYORK","14/06/2019 12:54:54 PM","Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","14/06/2019 12:53:54 PM","11","15/06/2019 12:54:54 AM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Windows-AllJoyn%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-AllJoyn%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Windows-AppHost%4Admin.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-AppHost%4Admin.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Windows-AppID%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-AppID%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
"4/02/2020 8:18:37 AM","4/02/2020 9:18:37 PM","4/02/2020 9:18:37 PM","NEWYORK","4/02/2020 9:56:47 AM","Microsoft-Windows-ApplicabilityEngine%4Operational.evtx","4/02/2020 8:18:37 AM","1","4/02/2020 10:56:47 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-ApplicabilityEngine%4Operational.evtx","   0.07","192.168.168.156","c18634be-183e-43ac-b183-65abbe7492d1","True"
