#TYPE Deserialized.System.Management.Automation.PSCustomObject
"LastAccessTimeUtc","CreationTime","LastAccessTime","ComputerName","LastWriteTimeUtc","LogName","CreationTimeUTC","RetentionPeriodinDays","LastWriteTime","LogFullName","SizeinMb","PSComputerName","RunspaceId","PSShowComputerName"
"15/06/2019 5:59:24 AM","15/06/2019 5:59:24 PM","15/06/2019 5:59:24 PM","ROME","7/04/2021 8:02:34 AM","Application.evtx","15/06/2019 5:59:24 AM","9","7/04/2021 8:02:34 PM","C:\Windows\System32\Winevt\Logs\Application.evtx","  20.00","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"29/09/2019 2:33:04 AM","29/09/2019 3:33:04 PM","29/09/2019 3:33:04 PM","ROME","29/09/2019 8:24:23 AM","ForwardedEvents.evtx","29/09/2019 2:33:04 AM","1","29/09/2019 9:24:23 PM","C:\Windows\System32\Winevt\Logs\ForwardedEvents.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"15/06/2019 5:59:24 AM","15/06/2019 5:59:24 PM","15/06/2019 5:59:24 PM","ROME","15/06/2019 6:01:18 AM","HardwareEvents.evtx","15/06/2019 5:59:24 AM","1","15/06/2019 6:01:18 PM","C:\Windows\System32\Winevt\Logs\HardwareEvents.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"15/06/2019 5:59:24 AM","15/06/2019 5:59:24 PM","15/06/2019 5:59:24 PM","ROME","15/06/2019 6:01:18 AM","Internet Explorer.evtx","15/06/2019 5:59:24 AM","1","15/06/2019 6:01:18 PM","C:\Windows\System32\Winevt\Logs\Internet Explorer.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"15/06/2019 5:59:24 AM","15/06/2019 5:59:24 PM","15/06/2019 5:59:24 PM","ROME","15/06/2019 6:01:18 AM","Key Management Service.evtx","15/06/2019 5:59:24 AM","1","15/06/2019 6:01:18 PM","C:\Windows\System32\Winevt\Logs\Key Management Service.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"14/06/2019 11:02:36 AM","14/06/2019 11:02:36 PM","14/06/2019 11:02:36 PM","ROME","7/04/2021 8:03:20 AM","Microsoft-Client-Licensing-Platform%4Admin.evtx","14/06/2019 11:02:36 AM","10","7/04/2021 8:03:20 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx","   1.00","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"14/07/2019 1:01:05 PM","15/07/2019 1:01:05 AM","15/07/2019 1:01:05 AM","ROME","14/07/2019 2:00:56 PM","Microsoft-Rdms-UI%4Admin.evtx","14/07/2019 1:01:05 PM","1","15/07/2019 2:00:56 AM","C:\Windows\System32\Winevt\Logs\Microsoft-Rdms-UI%4Admin.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"14/07/2019 1:01:05 PM","15/07/2019 1:01:05 AM","15/07/2019 1:01:05 AM","ROME","14/07/2019 2:00:56 PM","Microsoft-Rdms-UI%4Operational.evtx","14/07/2019 1:01:05 PM","1","15/07/2019 2:00:56 AM","C:\Windows\System32\Winevt\Logs\Microsoft-Rdms-UI%4Operational.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"14/06/2019 10:30:17 PM","15/06/2019 10:30:17 AM","15/06/2019 10:30:17 AM","ROME","7/04/2021 8:02:49 AM","Microsoft-Windows-AAD%4Operational.evtx","14/06/2019 10:30:17 PM","11","7/04/2021 8:02:49 PM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-AAD%4Operational.evtx","   1.00","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
"14/06/2019 12:59:41 PM","15/06/2019 12:59:41 AM","15/06/2019 12:59:41 AM","ROME","14/06/2019 10:11:25 PM","Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","14/06/2019 12:59:41 PM","11","15/06/2019 10:11:25 AM","C:\Windows\System32\Winevt\Logs\Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","   0.07","192.168.168.155","9aaea7b0-fb3b-4838-8991-a5ec3b71efd7","True"
