#TYPE System.Management.Automation.PSCustomObject
"LastAccessTimeUtc","CreationTime","LastAccessTime","ComputerName","LastWriteTimeUtc","LogName","CreationTimeUTC","RetentionPeriodinDays","LastWriteTime","LogFullName","SizeinMb"
"10/04/2021 9:59:48 AM","24/06/2020 3:58:52 PM","10/04/2021 9:59:48 PM","FF2","10/04/2021 9:59:48 AM","Application.evtx","24/06/2020 3:58:52 AM","4","10/04/2021 9:59:48 PM","C:\WINDOWS\System32\Winevt\Logs\Application.evtx","  20.00"
"10/04/2021 10:02:51 AM","24/06/2020 3:58:52 PM","10/04/2021 10:02:51 PM","FF2","10/04/2021 10:02:51 AM","Dell.evtx","24/06/2020 3:58:52 AM","10","10/04/2021 10:02:51 PM","C:\WINDOWS\System32\Winevt\Logs\Dell.evtx","   1.00"
"10/04/2021 9:59:48 AM","24/06/2020 3:58:52 PM","10/04/2021 9:59:48 PM","FF2","24/06/2020 4:17:44 AM","HardwareEvents.evtx","24/06/2020 3:58:52 AM","1","24/06/2020 4:17:44 PM","C:\WINDOWS\System32\Winevt\Logs\HardwareEvents.evtx","   0.07"
"10/04/2021 10:37:12 AM","24/06/2020 10:39:31 PM","10/04/2021 10:37:12 PM","FF2","3/12/2020 7:39:22 AM","Intel-GFX-Info%4Application.evtx","24/06/2020 10:39:31 AM","10","3/12/2020 8:39:22 PM","C:\WINDOWS\System32\Winevt\Logs\Intel-GFX-Info%4Application.evtx","   0.07"
"10/04/2021 10:37:12 AM","24/06/2020 10:39:31 PM","10/04/2021 10:37:12 PM","FF2","24/06/2020 11:08:01 AM","Intel-GFX-Info%4System.evtx","24/06/2020 10:39:31 AM","1","24/06/2020 11:08:01 PM","C:\WINDOWS\System32\Winevt\Logs\Intel-GFX-Info%4System.evtx","   0.07"
"10/04/2021 9:59:48 AM","24/06/2020 3:58:52 PM","10/04/2021 9:59:48 PM","FF2","24/06/2020 4:17:44 AM","Internet Explorer.evtx","24/06/2020 3:58:52 AM","1","24/06/2020 4:17:44 PM","C:\WINDOWS\System32\Winevt\Logs\Internet Explorer.evtx","   0.07"
"10/04/2021 9:59:48 AM","24/06/2020 3:58:52 PM","10/04/2021 9:59:48 PM","FF2","24/06/2020 4:17:44 AM","Key Management Service.evtx","24/06/2020 3:58:52 AM","1","24/06/2020 4:17:44 PM","C:\WINDOWS\System32\Winevt\Logs\Key Management Service.evtx","   0.07"
"10/04/2021 10:00:56 AM","24/06/2020 3:58:53 PM","10/04/2021 10:00:56 PM","FF2","10/04/2021 10:00:56 AM","Microsoft-Client-Licensing-Platform%4Admin.evtx","24/06/2020 3:58:53 AM","6","10/04/2021 10:00:56 PM","C:\WINDOWS\System32\Winevt\Logs\Microsoft-Client-Licensing-Platform%4Admin.evtx","   1.00"
"10/04/2021 10:01:29 AM","24/06/2020 4:03:33 PM","10/04/2021 10:01:29 PM","FF2","10/04/2021 10:01:29 AM","Microsoft-Windows-AAD%4Operational.evtx","24/06/2020 4:03:33 AM","6","10/04/2021 10:01:29 PM","C:\WINDOWS\System32\Winevt\Logs\Microsoft-Windows-AAD%4Operational.evtx","   1.00"
"10/04/2021 10:37:12 AM","10/03/2021 10:22:05 AM","10/04/2021 10:37:12 PM","FF2","12/03/2021 1:10:33 AM","Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","9/03/2021 9:22:05 PM","1","12/03/2021 2:10:33 PM","C:\WINDOWS\System32\Winevt\Logs\Microsoft-Windows-All-User-Install-Agent%4Admin.evtx","   0.07"
